Timestamp,Active_Power_kW,Voltage_V,Current_A,Power_Factor,Operational_State,Raw_Material_Flow_kg_min,Actual_Waste_kg
2026-06-01 00:00:00,52.48,414.2,86.07,0.867,1,16.03,8.39
2026-06-01 00:05:00,50.07,414.33,82.09,0.85,1,8.31,9.44
2026-06-01 00:10:00,54.77,411.5,90.4,0.901,1,24.12,10.15
2026-06-01 00:15:00,59.9,413.79,98.34,0.893,1,19.17,13.35
2026-06-01 00:20:00,51.88,416.07,84.7,0.829,1,12.49,7.8
2026-06-01 00:25:00,52.64,414.3,86.3,0.9,1,11.36,12.88
2026-06-01 00:30:00,62.46,411.14,103.2,0.879,1,9.77,11.42
2026-06-01 00:35:00,59.16,422.19,95.19,0.91,1,20.73,12.74
2026-06-01 00:40:00,53.73,415.67,87.8,0.843,1,13.69,9.15
2026-06-01 00:45:00,59.54,415.28,97.39,0.851,1,11.6,13.65
2026-06-01 00:50:00,55.26,412.26,91.05,0.885,1,23.1,8.04
2026-06-01 00:55:00,55.99,415.65,91.5,0.878,1,8.0,7.63
2026-06-01 01:00:00,60.27,414.59,98.74,0.866,1,10.28,9.12
2026-06-01 01:05:00,50.23,410.28,83.16,0.91,1,11.9,12.35
2026-06-01 01:10:00,51.9,412.32,85.5,0.888,1,10.2,9.3
2026-06-01 01:15:00,58.44,416.99,95.19,0.905,1,16.71,9.16
2026-06-01 01:20:00,56.91,419.86,92.06,0.838,1,17.02,10.64
2026-06-01 01:25:00,64.26,415.92,104.94,0.907,1,6.09,12.27
2026-06-01 01:30:00,58.85,417.76,95.69,0.875,1,7.89,8.5
2026-06-01 01:35:00,57.03,414.61,93.44,0.824,1,8.97,11.08
2026-06-01 01:40:00,72.12,414.78,118.1,0.848,1,6.41,12.99
2026-06-01 01:45:00,64.35,417.73,104.64,0.823,1,7.5,10.79
2026-06-01 01:50:00,66.5,419.16,107.76,0.875,1,9.79,9.53
2026-06-01 01:55:00,59.71,418.25,96.97,0.859,1,11.91,13.4
2026-06-01 02:00:00,64.78,412.33,106.71,0.938,1,20.83,11.62
2026-06-01 02:05:00,68.71,414.83,112.51,0.924,1,9.36,6.06
2026-06-01 02:10:00,63.05,415.69,103.03,0.919,1,18.4,13.09
2026-06-01 02:15:00,71.32,414.35,116.92,0.88,1,6.16,14.03
2026-06-01 02:20:00,67.07,415.97,109.52,0.917,1,18.16,15.14
2026-06-01 02:25:00,69.24,417.05,112.77,0.852,1,20.89,14.46
2026-06-01 02:30:00,68.3,417.51,111.12,0.887,1,17.1,13.47
2026-06-01 02:35:00,81.17,419.21,131.52,0.867,1,9.03,13.94
2026-06-01 02:40:00,72.43,414.18,118.79,0.841,1,11.61,12.5
2026-06-01 02:45:00,67.79,411.59,111.87,0.829,1,21.1,14.82
2026-06-01 02:50:00,77.76,415.9,127.0,0.887,1,13.64,14.32
2026-06-01 02:55:00,68.1,419.71,110.21,0.832,1,10.1,9.44
2026-06-01 03:00:00,75.79,413.81,124.41,0.906,1,23.65,14.03
2026-06-01 03:05:00,65.48,416.72,106.74,0.931,1,17.75,12.55
2026-06-01 03:10:00,69.16,416.74,112.73,0.839,1,21.11,8.91
2026-06-01 03:15:00,77.3,415.48,126.37,0.877,1,5.49,15.91
2026-06-01 03:20:00,80.5,415.02,131.76,0.909,1,11.79,15.08
2026-06-01 03:25:00,78.15,412.69,128.63,0.854,1,14.18,11.63
2026-06-01 03:30:00,77.19,409.3,128.1,0.93,1,16.75,14.04
2026-06-01 03:35:00,76.72,412.22,126.42,0.927,1,8.8,14.01
2026-06-01 03:40:00,71.28,414.02,116.94,0.832,1,14.96,15.76
2026-06-01 03:45:00,75.5,417.74,122.77,0.823,1,18.71,16.64
2026-06-01 03:50:00,77.22,414.74,126.46,0.937,1,11.92,16.99
2026-06-01 03:55:00,85.21,413.7,139.9,0.935,1,18.83,17.15
2026-06-01 04:00:00,82.03,412.77,134.99,0.871,1,12.79,13.9
2026-06-01 04:05:00,71.87,416.64,117.17,0.826,1,14.39,11.56
2026-06-01 04:10:00,82.67,418.4,134.21,0.894,1,7.69,13.65
2026-06-01 04:15:00,79.47,417.66,129.24,0.855,1,18.03,15.05
2026-06-01 04:20:00,78.34,416.52,127.75,0.932,1,9.49,14.52
2026-06-01 04:25:00,85.09,411.31,140.53,0.915,1,21.58,18.77
2026-06-01 04:30:00,87.49,414.12,143.51,0.898,1,16.07,15.96
2026-06-01 04:35:00,87.28,419.87,141.19,0.854,1,16.21,11.85
2026-06-01 04:40:00,78.69,417.8,127.94,0.904,1,23.25,12.57
2026-06-01 04:45:00,81.6,411.16,134.8,0.855,1,8.35,12.85
2026-06-01 04:50:00,85.04,414.86,139.23,0.825,1,15.6,13.83
2026-06-01 04:55:00,88.48,415.91,144.5,0.881,1,12.64,10.08
2026-06-01 05:00:00,81.41,413.09,133.87,0.879,1,24.33,19.5
2026-06-01 05:05:00,83.07,409.23,137.88,0.912,1,20.85,10.95
2026-06-01 05:10:00,78.64,415.25,128.64,0.924,1,20.15,13.84
2026-06-01 05:15:00,78.35,413.03,128.85,0.863,1,9.08,16.08
2026-06-01 05:20:00,88.53,413.04,145.59,0.874,1,9.75,17.79
2026-06-01 05:25:00,91.37,414.11,149.88,0.876,1,5.58,13.33
2026-06-01 05:30:00,84.34,414.67,138.16,0.859,1,17.77,18.86
2026-06-01 05:35:00,89.81,414.98,147.0,0.909,1,12.42,19.24
2026-06-01 05:40:00,86.67,412.79,142.63,0.883,1,11.24,15.74
2026-06-01 05:45:00,81.7,414.45,133.9,0.93,1,17.74,15.66
2026-06-01 05:50:00,86.77,410.61,143.55,0.898,1,21.57,14.59
2026-06-01 05:55:00,92.68,415.78,151.41,0.845,1,7.66,17.65
2026-06-01 06:00:00,84.82,407.86,141.26,0.84,1,23.37,16.96
2026-06-01 06:05:00,92.81,414.28,152.18,0.865,1,5.69,15.87
2026-06-01 06:10:00,71.87,417.3,116.98,0.862,1,6.9,14.77
2026-06-01 06:15:00,89.03,412.35,146.66,0.869,1,21.76,17.88
2026-06-01 06:20:00,85.3,416.79,139.02,0.842,1,14.85,23.52
2026-06-01 06:25:00,83.3,417.89,135.39,0.937,1,23.79,14.1
2026-06-01 06:30:00,85.16,406.73,142.22,0.837,1,14.23,19.12
2026-06-01 06:35:00,74.65,414.62,122.3,0.898,1,23.52,12.65
2026-06-01 06:40:00,83.37,407.81,138.86,0.822,1,9.79,16.71
2026-06-01 06:45:00,86.11,414.7,141.05,0.869,1,17.33,10.36
2026-06-01 06:50:00,91.56,414.98,149.87,0.857,1,24.89,16.54
2026-06-01 06:55:00,81.41,408.79,135.26,0.866,1,12.52,16.37
2026-06-01 07:00:00,79.76,419.81,129.06,0.88,1,5.03,15.16
2026-06-01 07:05:00,81.09,415.72,132.5,0.892,1,6.28,10.28
2026-06-01 07:10:00,87.96,412.88,144.7,0.89,1,22.18,15.99
2026-06-01 07:15:00,84.79,418.66,137.56,0.896,1,14.84,19.41
2026-06-01 07:20:00,80.24,410.51,132.77,0.921,1,15.73,17.61
2026-06-01 07:25:00,85.19,411.93,140.47,0.926,1,20.99,18.6
2026-06-01 07:30:00,82.82,409.25,137.46,0.908,1,21.23,21.4
2026-06-01 07:35:00,86.88,419.5,140.67,0.829,1,14.55,12.33
2026-06-01 07:40:00,78.21,415.83,127.76,0.935,1,22.16,14.27
2026-06-01 07:45:00,79.75,416.65,130.02,0.934,1,14.37,15.15
2026-06-01 07:50:00,79.08,415.75,129.21,0.905,1,18.5,13.47
2026-06-01 07:55:00,73.37,416.43,119.67,0.882,1,5.67,13.78
2026-06-01 08:00:00,81.79,415.2,133.81,0.85,1,7.76,18.12
2026-06-01 08:05:00,81.23,415.68,132.73,0.911,1,22.03,15.98
2026-06-01 08:10:00,79.54,415.27,130.11,0.925,1,11.26,9.79
2026-06-01 08:15:00,77.93,413.48,128.02,0.9,1,11.69,16.18
2026-06-01 08:20:00,71.59,414.88,117.21,0.895,1,18.26,13.77
2026-06-01 08:25:00,76.12,415.68,124.39,0.843,1,16.85,9.51
2026-06-01 08:30:00,76.05,415.28,124.4,0.863,1,6.64,12.6
2026-06-01 08:35:00,73.28,411.31,121.03,0.907,1,20.32,10.2
2026-06-01 08:40:00,76.01,411.64,125.42,0.822,1,17.34,13.88
2026-06-01 08:45:00,78.33,417.71,127.38,0.897,1,22.11,14.04
2026-06-01 08:50:00,85.24,414.23,139.77,0.912,1,15.71,12.6
2026-06-01 08:55:00,76.16,416.46,124.21,0.86,1,13.29,14.95
2026-06-01 09:00:00,76.04,412.27,125.28,0.829,1,12.43,11.81
2026-06-01 09:05:00,73.83,411.32,121.93,0.918,1,5.09,16.6
2026-06-01 09:10:00,64.05,412.89,105.37,0.837,1,5.8,12.21
2026-06-01 09:15:00,72.94,414.44,119.55,0.864,1,7.62,12.91
2026-06-01 09:20:00,72.8,413.34,119.63,0.905,1,23.59,17.18
2026-06-01 09:25:00,84.22,418.23,136.79,0.918,1,22.61,16.89
2026-06-01 09:30:00,70.34,415.45,115.01,0.923,1,14.94,14.21
2026-06-01 09:35:00,72.2,419.62,116.88,0.884,1,8.6,13.28
2026-06-01 09:40:00,69.9,416.01,114.13,0.877,1,7.92,12.25
2026-06-01 09:45:00,63.6,408.97,105.64,0.922,1,10.12,12.89
2026-06-01 09:50:00,74.52,417.64,121.2,0.888,1,23.17,18.09
2026-06-01 09:55:00,71.92,411.23,118.79,0.889,1,15.43,5.82
2026-06-01 10:00:00,71.46,415.58,116.79,0.872,1,21.08,18.23
2026-06-01 10:05:00,62.29,413.06,102.43,0.865,1,15.14,9.64
2026-06-01 10:10:00,73.18,420.36,118.24,0.878,1,17.19,14.48
2026-06-01 10:15:00,58.47,418.6,94.88,0.864,1,17.2,7.42
2026-06-01 10:20:00,67.73,413.15,111.35,0.861,1,5.63,15.92
2026-06-01 10:25:00,75.05,414.68,122.93,0.939,1,13.91,11.01
2026-06-01 10:30:00,58.44,415.61,95.51,0.86,1,22.28,14.23
2026-06-01 10:35:00,59.85,417.16,97.46,0.851,1,14.78,10.96
2026-06-01 10:40:00,62.47,415.07,102.23,0.862,1,13.71,11.55
2026-06-01 10:45:00,58.73,412.44,96.73,0.891,1,15.53,8.44
2026-06-01 10:50:00,52.77,413.21,86.75,0.929,1,12.62,12.95
2026-06-01 10:55:00,60.14,414.99,98.43,0.915,1,15.31,11.25
2026-06-01 11:00:00,53.75,418.09,87.32,0.921,1,7.71,11.72
2026-06-01 11:05:00,60.69,416.07,99.07,0.923,1,24.36,7.37
2026-06-01 11:10:00,52.98,413.07,87.12,0.93,1,5.68,7.76
2026-06-01 11:15:00,64.58,416.62,105.29,0.848,1,14.66,12.94
2026-06-01 11:20:00,52.16,414.03,85.58,0.875,1,9.2,6.2
2026-06-01 11:25:00,53.71,417.23,87.45,0.866,1,6.17,10.81
2026-06-01 11:30:00,58.64,421.32,94.53,0.866,1,18.03,9.93
2026-06-01 11:35:00,47.66,414.1,78.17,0.898,1,24.7,8.02
2026-06-01 11:40:00,54.19,417.0,88.27,0.868,1,19.99,11.94
2026-06-01 11:45:00,58.82,413.14,96.72,0.894,1,10.08,11.49
2026-06-01 11:50:00,43.49,414.72,71.23,0.866,1,14.87,5.98
2026-06-01 11:55:00,51.69,415.07,84.58,0.857,1,6.0,12.2
2026-06-01 12:00:00,51.3,414.52,84.06,0.862,1,15.63,11.18
2026-06-01 12:05:00,53.15,421.16,85.71,0.916,1,6.99,5.26
2026-06-01 12:10:00,42.29,414.23,69.34,0.892,1,20.89,7.96
2026-06-01 12:15:00,41.11,416.47,67.05,0.937,1,6.13,8.57
2026-06-01 12:20:00,49.56,410.17,82.07,0.92,1,5.19,8.92
